Date,Time,SP,Type,Family,Genus,Species,Common_name,*NEED TO CONFIRM,Notes
05/15/2023,13:09,CP6,CAT.ADJ,,Lonicera,,Honeysuckle,Y,
05/16/2023,13:38,PS5,EF,,Populus,tremuloides,Trembling_Aspen,,
05/16/2023,13:01,PS3,CAT.F,,Prunus,,,Y,
05/16/2023,13:04,PS3,CAT.ADJ,,Prunus,,,Y,
05/16/2023,13:49,PS5,RANDOM,,Populus,tremuloides,Trembling_Aspen,,
05/16/2023,14:30,PS2,RANDOM,,Salix,,Willows,Y,
05/16/2023,12:24,PS1,AF,,Populus,balsamifera,Balsam_Poplar,,
05/16/2023,12:15,PS1,EF,,Populus,tremuloides,Trembling_Aspen,,
05/16/2023,14:15,PS2,EF,,Populus,balsamifera,Balsam_Poplar,,confirmed by baxter inat
05/16/2023,14:20,PS2,AF,,Spiraea,alba,white meadowsweet,,confirmed by baxter inat
05/16/2023,13:38,PS5,AF,,Ulmus,americana,American elm,,
05/16/2023,14:43,PS5,EF,,Populus,tremuloides,Trembling_Aspen,,
05/16/2023,14:43,PS5,EF,,Populus,tremuloides,Trembling_Aspen,,
05/16/2023,13:13,PS4,EF,,Populus,tremuloides,Trembling_Aspen,Y,
05/16/2023,13:17,PS4,AF,,Spiraea,alba,white meadowsweet,,
05/16/2023,12:57,PS3,EF,,Crataegus,chrysocarpa,Hawthorns (fireberry),Y,
05/16/2023,12:52,PS3,AF,,Prunus,,,Y,
05/16/2023,13:27,PS4,RANDOM,,Populus,tremuloides,Trembling_Aspen,,
05/16/2023,12:39,PS1,RANDOM,,Ulmus,,Elm,Y,
05/23/2023,13:26,NB1,CAT.ADJ,,Prunus,,,Y,
05/23/2023,13:50,NB2,RANDOM,,Viburnums,,downy arrowood,Y,"original SP is AF but caterpillars ate all the leaves, so sampled 5 m away"
05/23/2023,13:42,NB2,EF,,Prunus,,,Y,black
05/23/2023,13:25,NB1,CAT.F,,Prunus,,,Y,black
05/23/2023,13:08,NB1,EF,,Prunus,,,Y,black cherry
05/23/2023,13:15,NB1,AF,,Crataegus,,Hawthorns (fireberry),Y,need confirm
05/23/2023,14:32,NB3,CAT.F,,Prunus,,,Y,black
05/23/2023,11:04,NB5,EF,,Prunus,,,Y,
05/23/2023,11:17,NB5,CAT.F,,Prunus,,,Y,
05/23/2023,14:30,NB3,EF,,Prunus,,,Y,fire cherry?
05/23/2023,11:15,NB5,CAT.ADJ,,Populus,tremuloides,Trembling_Aspen,,
05/23/2023,11:10,NB5,AF,,Prunus,,,Y,black choke cherry
05/23/2023,14:10,NB2,CAT.ADJ,,Prunus,,,Y,"black, dist from edge 15 m"
05/23/2023,14:44,NB3,CAT.ADJ,,Populus,tremuloides,Trembling_Aspen,,
05/23/2023,14:30,NB3,AF,,Acer,,,Y,maple
05/24/2023,14:57,CP7,CAT.F,,Prunus,virginiana,choke cherry,Y,
05/24/2023,14:55,CP7,CAT.ADJ,,Crataegus,,Hawthorns (fireberry),Y,dist 5 m edge
05/24/2023,-,CP6,CAT.F,,Lonicera,morrowii,morrow honeysuckle,Y,
05/24/2023,14:28,CP4,RANDOM,,Prunus,,,Y,see observations
05/24/2023,14:20,CP4,AF,,Crataegus,,Hawthorns (fireberry),Y,
05/24/2023,14:17,CP4,EF,,Populus,tremuloides,Trembling_Aspen,,
05/24/2023,14:55,CP3,EF,,Populus,tremuloides,Trembling_Aspen,,
05/24/2023,14:54,CP3,AF,,Populus,tremuloides,Trembling_Aspen,,
05/24/2023,15:07,CP3,RANDOM,,Alnus,incana,Grey alder,Y,
05/24/2023,13:40,CP5,EF,,Crataegus,chrysocarpa,fireberry hawthorn,Y,
05/24/2023,13:57,CP5,RANDOM,,Ulmus,,elm,Y,
05/24/2023,13:45,CP5,AF,,Crataegus,chrysocarpa,fireberry hawthorn,,
05/24/2023,14:42,CP7,AF,,Prunus,virginiana,chokecherry,Y,
05/24/2023,14:35,CP7,EF,,Lonicera,morrowii,morrow honeysuckle,Y,
05/24/2023,14:24,CP6,CAT.ADJ,,Populus,tremuloides,Trembling_Aspen,,dist 13 m
05/24/2023,14:20,CP6,CAT.F,,Prunus,virginiana,chokecherry,,
05/24/2023,14:02,CP6,AF,,Salix,bebbiana ,Bebb's willow,Y,
05/24/2023,14:00,CP6,EF,,Populus,tremuloides,Trembling_Aspen,,
05/25/2023,13:40,PS2,CAT.ADJ,,Spiraea,alba,white meadowsweet,,
05/25/2023,15:22,PS5,EF,,Populus,tremuloides,Trembling_Aspen,,
05/25/2023,15:00,PS4,CAT.ADJ,,Acer,,red maple,Y,
05/25/2023,14:57,PS4,CAT.F,,Populus,tremuloides,Trembling_Aspen,,
05/25/2023,15:21,PS5,AF,,Ulmus,americana,American elm,Y,
05/25/2023,12:36,PS1,EF,,Populus,tremuloides,Trembling_Aspen,,
05/25/2023,12:40,PS1,AF,,Populus,balsamifera,Balsam_Poplar,,
05/25/2023,13:40,PS2,CAT.F,,Populus,balsamifera,Balsam_Poplar,,
05/25/2023,13:28,PS2,AF,,Spiraea,alba,white meadowsweet,,
05/25/2023,12:59,PS1,RANDOM,,Viburnum ,lentago,nannyberry,inat suggested? Y need confirm,
05/25/2023,13:31,PS2,EF,,Populus,balsamifera,Balsam_Poplar,,
05/25/2023,15:40,PS5,RANDOM,,Spiraea,alba,white meadowsweet,,
05/25/2023,14:47,PS4,AF,,Spiraea,alba,white meadowsweet,,
05/25/2023,14:29,PS3,CAT.F,,Prunus,virginiana,chokecherry,Y,
05/25/2023,14:20,PS3,EF,,Crataegus,chrysocarpa,Hawthorns (fireberry),Y,
05/25/2023,14:33,PS3,CAT.ADJ,,Prunus,,black cherry,Y,
05/25/2023,14:50,PS4,EF,,Populus,tremuloides,Trembling_Aspen,,
05/25/2023,14:27,PS3,AF,,Prunus,virginiana,chokecherry,Y,
06/01/2023,9:41,NB1,AF,,Crataegus,chrysocarpa,fireberry hawthorn,,
06/01/2023,9:36,NB1,EF,,Prunus,serotina,Black cherry ,,
06/01/2023,9:43,NB1,CAT.F,,Prunus,serotina,Black cherry ,,
06/01/2023,9:48,NB1,CAT.ADJ,,Populus,balsamifera,Balsam_Poplar,,
06/01/2023,10:06,NB2,RANDOM,,Crataegus,chrysocarpa,fireberry hawthorn,,"AF had no leaves due to tent caterpillar nest, random shrub was sampled nearby instead"
06/01/2023,10:04,NB2,EF,,Prunus,serotina,Black cherry ,,
06/01/2023,10:18,NB2,CAT.F,,Prunus,serotina,Black cherry ,,
06/01/2023,10:21,NB2,CAT.ADJ,,Prunus,,,Y,
06/01/2023,10:35,NB3,EF,,Prunus,virginiana,chokecherry,,
06/01/2023,10:41,NB3,AF,,Acer ,rubrum,red maple,,
06/01/2023,10:50,NB3,CAT.ADJ,,Prunus,virginiana,Chokecherry,,
06/01/2023,10:45,NB3,CAT.F,,Prunus,serotina,Black cherry ,,
06/01/2023,8:54,NB5,AF,,Prunus,,,,black or choke??
06/01/2023,8:55,NB5,CAT.ADJ,,Populus ,tremuloides,Trembing aspen,,
06/01/2023,8:45,NB5,EF,,Prunus,serotina,Black cherry ,,
06/01/2023,8:45,NB5,CAT.F,,Prunus,serotina,Black cherry ,,
06/02/2023,12:51,PS1,CAT.ADJ,,Viburnum,,,,
06/02/2023,12:51,PS1,EF,,Populus,tremuloides,Trembling_Aspen,,
06/02/2023,12:49,PS1,CAT.F,,Salix ,candida,sageleaf willow,,
